INST CODE,INSTITUTE NAME,PLACE,DIST,COED,TYPE,YEAR OF ESTB,BRANCH,BRANCH NAME,OC BOYS,OC GIRLS,BC_A BOYS,BC_A GIRLS,BC_B BOYS,BC_B GIRLS,BC_C BOYS,BC_C GIRLS,BC_D BOYS,BC_D GIRLS,BC_E BOYS,BC_E GIRLS,SC BOYS,SC GIRLS,ST BOYS,ST GIRLS,EWS GEN OU,EWS GIRLS OU,TUITION FEE,AFFILIATED
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,COED,PVT,2010,CSE,COMPUTER SCIENCE AND ENGINEERING,26935,57873,80090,80090,105824,107312,26935,57873,79603,79603,43444,90877,120428,120428,112192,112192,110133,110133,48000,JNTUH
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,COED,PVT,2010,CSM,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),53902,53902,53902,102777,53902,75778,53902,53902,54270,56450,112289,112289,117883,117883,53902,120527,53902,84274,48000,JNTUH
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,COED,PVT,2010,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,58877,58877,58877,98178,114841,114841,58877,58877,102562,108975,58877,71572,121146,121146,58877,58877,58877,58877,48000,JNTUH
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,COED,PVT,2010,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,85833,85833,85833,85833,111279,111279,85833,85833,85833,85833,85833,85833,114298,114298,85833,85833,85833,85833,48000,JNTUH
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,COED,PVT,2010,MEC,MECHANICAL ENGINEERING,120983,120983,120983,120983,120983,120983,120983,120983,120983,120983,120983,120983,120983,120983,120983,120983,120983,120983,48000,JNTUH
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,COED,PVT,2007,CIV,CIVIL ENGINEERING,25471,27922,117847,117847,119228,119228,25471,27922,25471,109183,25471,114957,121412,121412,78789,120222,25471,27922,82000,JNTUH
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,COED,PVT,2007,CSD,COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE),31438,31438,79168,89371,51792,53546,40117,40117,45724,45724,76522,94193,97278,97278,63600,81184,50261,50261,82000,JNTUH
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,COED,PVT,2007,CSE,COMPUTER SCIENCE AND ENGINEERING,23604,31494,60546,64457,36733,43148,113369,113369,38578,38578,92829,92829,115708,119385,59104,77602,39954,45440,82000,JNTUH
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,COED,PVT,2007,CSM,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),43220,58073,109875,110447,68491,93560,103971,103971,58174,58174,61042,84200,120968,121182,105247,115294,55738,62921,82000,JNTUH
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,COED,PVT,2007,CSO,COMPUTER SCIENCE AND ENGINEERING (IOT),48413,48413,83497,83497,108411,108411,48413,48413,68221,68221,104715,104715,118379,118379,103686,103686,94437,94437,82000,JNTUH
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,COED,PVT,2007,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,39027,40651,112896,112896,110826,110826,39027,40651,82415,114490,110306,112295,121287,121287,114932,118382,86272,86272,82000,JNTUH
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,COED,PVT,2007,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,119946,119946,119946,119946,119946,119946,119946,119946,119946,119946,119946,119946,119946,119946,119946,119946,119946,119946,82000,JNTUH
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,COED,PVT,2007,INF,INFORMATION TECHNOLOGY,30255,30255,88906,88906,69012,111895,30255,30255,71331,71331,72245,72245,119269,119269,95531,119868,46464,46464,82000,JNTUH
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,COED,PVT,2007,MEC,MECHANICAL ENGINEERING,98974,98974,98974,98974,98974,98974,98974,98974,98974,98974,98974,98974,98974,98974,98974,98974,98974,98974,82000,JNTUH
AITH,ANNAMACHARYA INST OF TECHNOLOGY AND SCI,HAYATHNAGAR,RR,COED,PVT,2005,CIV,CIVIL ENGINEERING,116465,116465,116465,116465,116465,116465,116465,116465,116465,116465,116465,116465,116465,116465,116465,116465,116465,116465,66000,JNTUH
AITH,ANNAMACHARYA INST OF TECHNOLOGY AND SCI,HAYATHNAGAR,RR,COED,PVT,2005,CSE,COMPUTER SCIENCE AND ENGINEERING,59483,59483,115263,115263,97698,108258,59483,90151,86559,106392,59483,111780,121405,121405,117420,117420,107703,107703,66000,JNTUH
AITH,ANNAMACHARYA INST OF TECHNOLOGY AND SCI,HAYATHNAGAR,RR,COED,PVT,2005,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,34209,84065,34209,84065,55079,107034,34209,84065,102044,102044,113986,113986,118131,118131,95805,95805,55722,84065,66000,JNTUH
AITH,ANNAMACHARYA INST OF TECHNOLOGY AND SCI,HAYATHNAGAR,RR,COED,PVT,2005,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,121314,121314,121314,121314,121314,121314,121314,121314,121314,121314,121314,121314,121314,121314,121314,121314,121314,121314,66000,JNTUH
AITH,ANNAMACHARYA INST OF TECHNOLOGY AND SCI,HAYATHNAGAR,RR,COED,PVT,2005,MEC,MECHANICAL ENGINEERING,86515,86515,86515,86515,86515,86515,86515,86515,86515,86515,86515,86515,86515,86515,86515,86515,86515,86515,66000,JNTUH
AKIT,ABDULKALAM INST OF TECHNOLOGY AND SCI,KOTHAGUDEM,KGM,COED,PVT,2007,CIV,CIVIL ENGINEERING,73722,86118,102254,102254,117513,117513,73722,86118,120427,120427,73722,103093,117105,120963,87815,120264,74539,86118,52000,JNTUH
AKIT,ABDULKALAM INST OF TECHNOLOGY AND SCI,KOTHAGUDEM,KGM,COED,PVT,2007,CSE,COMPUTER SCIENCE AND ENGINEERING,67986,76198,86688,86688,114976,114976,80081,80081,79891,79891,89509,89509,117940,117940,119875,119875,102071,102071,52000,JNTUH
AKIT,ABDULKALAM INST OF TECHNOLOGY AND SCI,KOTHAGUDEM,KGM,COED,PVT,2007,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,60468,60468,84208,84208,108374,108374,60468,60468,92315,93591,77228,77228,110987,110987,60468,60468,60468,60468,52000,JNTUH
AKIT,ABDULKALAM INST OF TECHNOLOGY AND SCI,KOTHAGUDEM,KGM,COED,PVT,2007,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,88290,88290,119165,119165,120883,120883,88290,88290,89380,89380,105566,119880,119741,119741,109831,109831,88290,88290,52000,JNTUH
AKIT,ABDULKALAM INST OF TECHNOLOGY AND SCI,KOTHAGUDEM,KGM,COED,PVT,2007,MEC,MECHANICAL ENGINEERING,75617,75617,75617,111947,75617,75617,75617,75617,105317,105317,75617,75617,115701,115701,116337,118979,75617,75617,52000,JNTUH
AKIT,ABDULKALAM INST OF TECHNOLOGY AND SCI,KOTHAGUDEM,KGM,COED,PVT,2007,MIN,MINING ENGINEERING,48290,48290,48290,48290,48290,48290,48290,48290,48290,48290,48290,48290,48290,48290,117325,117325,48290,48290,52000,JNTUH
ANRK,ANURAG ENGINEERING COLLGE,KODAD,SRP,COED,PVT,2001,CIV,CIVIL ENGINEERING,114935,114935,117946,117946,114935,114935,114935,114935,114935,114935,114935,114935,118134,118134,118687,118687,114935,114935,73000,JNTUH
ANRK,ANURAG ENGINEERING COLLGE,KODAD,SRP,COED,PVT,2001,CSE,COMPUTER SCIENCE AND ENGINEERING,50866,50866,74168,88368,66189,78928,50866,50866,97493,104514,63715,63715,105282,119227,95952,95952,55766,55766,73000,JNTUH
ANRK,ANURAG ENGINEERING COLLGE,KODAD,SRP,COED,PVT,2001,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,75133,75133,110790,110790,115036,115036,75133,103576,112823,114099,104019,113425,119654,120103,105697,107124,78089,84633,73000,JNTUH
ANRK,ANURAG ENGINEERING COLLGE,KODAD,SRP,COED,PVT,2001,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,63931,98078,63931,98078,104585,111290,63931,98078,75024,98078,63931,98078,120631,120631,71382,98078,63931,98078,73000,JNTUH
ANRK,ANURAG ENGINEERING COLLGE,KODAD,SRP,COED,PVT,2001,MEC,MECHANICAL ENGINEERING,82643,114648,82643,114648,82643,114648,82643,114648,82643,114648,82643,114648,107937,114648,82643,114648,82643,114648,73000,JNTUH
ANRP,ANURAG PHARMACY COLLEGE,KODADA,SRP,COED,PVT,2007,PHM,B. PHARMACY (M.P.C. STREAM),89597,89597,89597,89597,89597,89597,89597,89597,89597,89597,89597,89597,89597,89597,89597,89597,89597,89597,65000,JNTUH
ARJN,ARJUN COLLEGE OF TECHNOLOGY AND SCIENCE,BATASINGARAM,RR,COED,PVT,2006,CSE,COMPUTER SCIENCE AND ENGINEERING,44834,44834,102726,102726,115119,115119,44834,44834,57280,106304,44834,44834,113955,113955,79483,79483,95252,95252,57000,JNTUH
ARJN,ARJUN COLLEGE OF TECHNOLOGY AND SCIENCE,BATASINGARAM,RR,COED,PVT,2006,CSM,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),35139,86748,35139,108764,35139,86748,35139,86748,96180,96180,35139,121393,119717,119717,35139,86748,35139,86748,57000,JNTUH
ARJN,ARJUN COLLEGE OF TECHNOLOGY AND SCIENCE,BATASINGARAM,RR,COED,PVT,2006,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,48126,48126,48126,48126,48126,48126,48126,48126,108253,108253,48126,48126,120866,120866,121170,121170,48126,48126,57000,JNTUH
ARYA,ARYA COLLEGE OF PHARMACY,KANDI,SRD,COED,PVT,2007,PHD,PHARM - D (M.P.C. STREAM),27073,27073,27073,27073,27073,27073,27073,27073,27073,27073,27073,27073,27073,27073,27073,27073,27073,27073,68000,OU
ARYA,ARYA COLLEGE OF PHARMACY,KANDI,SRD,COED,PVT,2007,PHM,B. PHARMACY (M.P.C. STREAM),83008,83008,83008,83008,83008,83008,83008,83008,83008,83008,83008,83008,83008,83008,83008,83008,83008,83008,45000,OU
ASRA,AVANTHIS SCIENTIFIC TECH AND RESEARCH ACADEMY,HAYATHNAGAR,RR,COED,PVT,2008,CIV,CIVIL ENGINEERING,114458,114458,114458,114458,114458,114458,114458,114458,114458,114458,114458,114458,115272,115272,114458,114458,114458,114458,50000,JNTUH
ASRA,AVANTHIS SCIENTIFIC TECH AND RESEARCH ACADEMY,HAYATHNAGAR,RR,COED,PVT,2008,CSE,COMPUTER SCIENCE AND ENGINEERING,49741,49741,114311,114311,92723,109524,49741,49741,106883,106883,63914,63914,109315,120027,49741,49741,82521,82521,50000,JNTUH
ASRA,AVANTHIS SCIENTIFIC TECH AND RESEARCH ACADEMY,HAYATHNAGAR,RR,COED,PVT,2008,CSM,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),117014,117014,117014,117014,117014,117014,117014,117014,117014,117014,117014,117014,117014,117014,117014,117014,117014,117014,50000,JNTUH
ASRA,AVANTHIS SCIENTIFIC TECH AND RESEARCH ACADEMY,HAYATHNAGAR,RR,COED,PVT,2008,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,75543,75543,75543,80899,89381,89381,75543,75543,75543,83584,75543,75543,75543,75543,75543,75543,110168,110168,50000,JNTUH
ASRA,AVANTHIS SCIENTIFIC TECH AND RESEARCH ACADEMY,HAYATHNAGAR,RR,COED,PVT,2008,MEC,MECHANICAL ENGINEERING,80546,80546,80546,80546,80546,80546,80546,80546,80546,80546,80546,80546,80546,80546,80546,80546,80546,80546,50000,JNTUH
AURP,AURORAS TECHNOLOGICAL AND  RESEARCH INSTITUTE,PARVATHAPUR,MDL,COED,PVT,1999,CIV,CIVIL ENGINEERING,116888,116888,116888,116888,116888,116888,116888,116888,116888,116888,116888,116888,116888,116888,116888,116888,116888,116888,72000,JNTUH
AURP,AURORAS TECHNOLOGICAL AND  RESEARCH INSTITUTE,PARVATHAPUR,MDL,COED,PVT,1999,CSE,COMPUTER SCIENCE AND ENGINEERING,61792,81108,79169,99658,113281,113281,102225,102225,109589,109589,99924,104124,121196,121196,116868,116868,106876,106876,72000,JNTUH
